Year of the report,Quarter of the report,Company Name,Standard Industrial Classification Code,Type of Report,Central Index Key,Report Page,Report as Text
2000,1,1 800 CONTACTS INC,3827,10-K,1050122,https://www.sec.gov/Archives/edgar/data/1050122/0000927356-00-000660-index.htm,https://www.sec.gov/Archives/edgar/data/1050122/000092735600000660/0000927356-00-000660.txt
2000,1,1ST ATLANTIC GUARANTY CORP,0000,10-K,1050123,https://www.sec.gov/Archives/edgar/data/1050123/0001104659-00-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1050123/000110465900000012/0001104659-00-000012.txt
2000,1,1ST ATLANTIC GUARANTY CORP,0000,10-K,1050123,https://www.sec.gov/Archives/edgar/data/1050123/0001104659-00-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1050123/000110465900000033/0001104659-00-000033.txt
2000,1,1ST SOURCE CORP,6022,10-K,34782,https://www.sec.gov/Archives/edgar/data/34782/0000034782-00-000024-index.htm,https://www.sec.gov/Archives/edgar/data/34782/000003478200000024/0000034782-00-000024.txt
2000,1,21ST CENTURY INSURANCE GROUP,6331,10-K,100331,https://www.sec.gov/Archives/edgar/data/100331/0000100331-00-000003-index.htm,https://www.sec.gov/Archives/edgar/data/100331/000010033100000003/0000100331-00-000003.txt
2000,1,21ST CENTURY TELECOM GROUP INC,4899,10-K,1056751,https://www.sec.gov/Archives/edgar/data/1056751/0000912057-00-012059-index.htm,https://www.sec.gov/Archives/edgar/data/1056751/000091205700012059/0000912057-00-012059.txt
2000,1,24/7 MEDIA INC,7310,10-K,1062195,https://www.sec.gov/Archives/edgar/data/1062195/0000912057-00-013480-index.htm,https://www.sec.gov/Archives/edgar/data/1062195/000091205700013480/0000912057-00-013480.txt
2000,1,3 D SYSTEMS CORP,7372,10-K,910638,https://www.sec.gov/Archives/edgar/data/910638/0000912057-00-015304-index.htm,https://www.sec.gov/Archives/edgar/data/910638/000091205700015304/0000912057-00-015304.txt
2000,1,4 KIDS ENTERTAINMENT INC,6794,10-K,58592,https://www.sec.gov/Archives/edgar/data/58592/0000891092-00-000282-index.htm,https://www.sec.gov/Archives/edgar/data/58592/000089109200000282/0000891092-00-000282.txt
2000,1,7 ELEVEN INC,5412,10-K,92344,https://www.sec.gov/Archives/edgar/data/92344/0000092344-00-000003-index.htm,https://www.sec.gov/Archives/edgar/data/92344/000009234400000003/0000092344-00-000003.txt
2000,1,800 JR CIGAR INC,5190,10-K,1035507,https://www.sec.gov/Archives/edgar/data/1035507/0001035507-00-000001-index.htm,https://www.sec.gov/Archives/edgar/data/1035507/000103550700000001/0001035507-00-000001.txt
2000,1,99 CENTS ONLY STORE,5331,10-K,1011290,https://www.sec.gov/Archives/edgar/data/1011290/0001011290-00-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1011290/000101129000000002/0001011290-00-000002.txt
2000,1,A C MOORE ARTS & CRAFTS INC,5990,10-K,1042809,https://www.sec.gov/Archives/edgar/data/1042809/0000950116-00-000564-index.htm,https://www.sec.gov/Archives/edgar/data/1042809/000095011600000564/0000950116-00-000564.txt
2000,1,A CONSULTING TEAM INC,7380,10-K,1040792,https://www.sec.gov/Archives/edgar/data/1040792/0000889812-00-001402-index.htm,https://www.sec.gov/Archives/edgar/data/1040792/000088981200001402/0000889812-00-001402.txt
2000,1,AAON INC,3585,10-K,824142,https://www.sec.gov/Archives/edgar/data/824142/0001026608-00-000008-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000102660800000008/0001026608-00-000008.txt
2000,1,ABATIX CORP,5047,10-K,845779,https://www.sec.gov/Archives/edgar/data/845779/0000845779-00-000004-index.htm,https://www.sec.gov/Archives/edgar/data/845779/000084577900000004/0000845779-00-000004.txt
2000,1,ABC NACO INC,3460,10-K,913364,https://www.sec.gov/Archives/edgar/data/913364/0000913364-00-000009-index.htm,https://www.sec.gov/Archives/edgar/data/913364/000091336400000009/0000913364-00-000009.txt
2000,1,ABLE TELCOM HOLDING CORP,1731,10-K,826411,https://www.sec.gov/Archives/edgar/data/826411/0000950170-00-000259-index.htm,https://www.sec.gov/Archives/edgar/data/826411/000095017000000259/0000950170-00-000259.txt
2000,1,ABN AMRO MORTGAGE CORP,6189,10-K,943489,https://www.sec.gov/Archives/edgar/data/943489/0001013255-00-000084-index.htm,https://www.sec.gov/Archives/edgar/data/943489/000101325500000084/0001013255-00-000084.txt
2000,1,ABN AMRO MORTGAGE CORP SERIES 1998-2,6189,10-K,1083053,https://www.sec.gov/Archives/edgar/data/1083053/0001013255-00-000085-index.htm,https://www.sec.gov/Archives/edgar/data/1083053/000101325500000085/0001013255-00-000085.txt
